City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code,Order Processing Time,Total Discount,Profit Margin,Order Year,Order Month,Order Day of Week,Order Week of Year
McKeesport,54,Jessica Myrick,Small Business,0.1,1,2012-01-01,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,East,4031,180.36,2012-01-02,Regular Air,4.69,Pennsylvania,5.98,15131,1,18.036,-0.6198713683743623,2012,1,6,52
Montebello,54,Elizabeth Moffitt,Consumer,0.08,1,2012-01-02,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,West,6225,614.8,2012-01-02,Regular Air,1.97,California,15.04,90640,0,49.184,0.4030416395575797,2012,1,0,1
Montebello,54,Elizabeth Moffitt,Consumer,0.09,1,2012-01-02,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,West,6224,137.63,2012-01-04,Express Air,2.15,California,9.11,90640,2,12.3867,0.19407106008864347,2012,1,0,1
Prior Lake,54,David Philippe,Consumer,0.06,1,2012-01-02,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,Central,1279,124.81,2012-01-04,Regular Air,2.99,Minnesota,40.98,55372,2,7.4886,-0.09564137488983254,2012,1,0,1
Draper,54,Larry Tron,Home Office,0.05,1,2012-01-03,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,West,1336,262.76,2012-01-04,Regular Air,21.2,Utah,20.98,84020,1,13.138,-0.5558304155883697,2012,1,1,1
Phenix City,54,Patrick Jones,Home Office,0.03,1,2012-01-03,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,5704,172.51,2012-01-04,Regular Air,2.99,Alabama,5.58,36869,1,5.175299999999999,0.07277549127586808,2012,1,1,1
Lake Oswego,54,Alex Russell,Home Office,0.03,1,2012-01-03,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,West,1074,122.23,2012-01-04,Regular Air,1.2,Oregon,4.26,97035,1,3.6669,0.20085085494559438,2012,1,1,1
Kearney,54,Bill Donatelli,Corporate,0.03,1,2012-01-03,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,Central,4223,85.56,2012-01-05,Regular Air,5.66,Nebraska,5.28,68847,2,2.5668,-0.4859747545582047,2012,1,1,1
Baton Rouge,54,Andy Reiter,Corporate,0.08,1,2012-01-03,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,522.49,2012-01-05,Regular Air,16.71,Louisiana,43.22,70802,2,41.7992,-0.4525062680625467,2012,1,1,1
Baton Rouge,54,Andy Reiter,Corporate,0.04,1,2012-01-03,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,1317,123.76,2012-01-07,Regular Air,2.27,Louisiana,10.14,70802,4,4.9504,0.26212023270846796,2012,1,1,1
Pharr,54,Tamara Dahlen,Corporate,0.03,1,2012-01-04,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,Central,1193,63.34,2012-01-05,Regular Air,6.27,Texas,3.36,78577,1,1.9002000000000001,-1.200110514682665,2012,1,2,1
Pharr,54,Tamara Dahlen,Corporate,0.07,1,2012-01-04,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,8.33,Central,1194,151.35,2012-01-06,Express Air,1.93,Texas,3.71,78577,2,10.5945,0.055037991410637595,2012,1,2,1
Bedford,54,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,49,0.7,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,-139.15575,Central,8014,240.3,2012-01-06,Regular Air,5.68,Texas,4.91,76021,1,19.224,-0.5790917602996255,2012,1,3,1
Bedford,54,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,43,0.58,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,1.74,Central,8011,78.08,2012-01-06,Regular Air,0.75,Texas,1.81,76021,1,6.2464,0.02228483606557377,2012,1,3,1
Ormond Beach,54,Valerie Dominguez,Corporate,0.09,1,2012-01-05,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,South,3588,257.41,2012-01-06,Regular Air,4.69,Florida,5.98,32174,1,23.166900000000002,-0.5092265257759994,2012,1,3,1
Deer Park,54,Dorris Love,Home Office,0.05,1,2012-01-05,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-32.48,East,47,188.73,2012-01-06,Regular Air,5.83,New York,7.64,11729,1,9.4365,-0.17209770571716207,2012,1,3,1
Fort Dodge,54,Matt Collins,Consumer,0.03,1,2012-01-05,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,-28.46,Central,164,165.75,2012-01-06,Regular Air,1.99,Iowa,28.48,50501,1,4.9725,-0.17170437405731523,2012,1,3,1
Bedford,54,Darren Budd,Consumer,0.06,1,2012-01-05,57253,Critical,29,0.64,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,-1358.9,Central,8012,653.54,2012-01-07,Delivery Truck,53.03,Texas,20.98,76021,2,39.212399999999995,-2.0792912446062983,2012,1,3,1
Monroe,54,Robert Waldorf,Home Office,0.0,1,2012-01-05,59232,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,245.97,South,8291,725.43,2012-01-07,Regular Air,5.76,Louisiana,30.98,71203,2,0.0,0.3390678631983789,2012,1,3,1
Petersburg,54,Muhammed Yedwab,Consumer,0.03,1,2012-01-06,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.61,South,2325,37.06,2012-01-07,Regular Air,0.7,Virginia,2.1,23805,1,1.1118000000000001,0.01645979492714517,2012,1,4,1
Hilton Head Island,54,Craig Leslie,Consumer,0.03,1,2012-01-06,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,South,2003,61.7185,2012-01-07,Regular Air,1.1,South Carolina,35.99,29915,1,1.8515549999999998,-2.6579226650032,2012,1,4,1
Herndon,54,Tracy Collins,Consumer,0.06,1,2012-01-06,16961,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,South,2350,46.86,2012-01-07,Regular Air,1.99,Virginia,1.7,20170,1,2.8116,-0.7912932138284251,2012,1,4,1
Royal Palm Beach,54,Victor Price,Consumer,0.05,1,2012-01-06,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,948,129.84,2012-01-08,Express Air,4.95,Florida,6.64,33411,2,6.492000000000001,0.018407270486752926,2012,1,4,1
Royal Palm Beach,54,Victor Price,Consumer,0.07,1,2012-01-06,6854,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,947,22.13,2012-01-08,Express Air,6.16,Florida,7.68,33411,2,1.5491000000000001,-0.10808856755535472,2012,1,4,1
Hilton Head Island,54,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,South,2002,1413.89,2012-01-08,Express Air,13.99,South Carolina,28.28,29915,2,14.138900000000001,-0.028799977367404816,2012,1,4,1
Herndon,54,Tracy Collins,Consumer,0.01,1,2012-01-06,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,South,2351,1089.59,2012-01-08,Regular Air,5.09,Virginia,30.98,20170,2,10.8959,0.39761745243623753,2012,1,4,1
Fairfax,54,Maribeth Schnelling,Corporate,0.09,1,2012-01-06,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,South,5794,298.97,2012-01-08,Regular Air,8.73,Virginia,6.48,20151,2,26.907300000000003,-0.7554604140883701,2012,1,4,1
San Clemente,54,Julia Barnett,Home Office,0.03,1,2012-01-06,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,West,3283,101.77,2012-01-08,Regular Air,3.97,California,3.28,92672,2,3.0530999999999997,-0.7191706789820183,2012,1,4,1
Fairfax,54,Maribeth Schnelling,Corporate,0.05,1,2012-01-06,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,South,5795,159.05,2012-01-10,Regular Air,35.0,Virginia,20.34,20151,4,7.952500000000001,-0.9648538195535995,2012,1,4,1
Las Vegas,54,Chloris Kastensmidt,Consumer,0.08,1,2012-01-07,43909,High,46,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-199.134,West,6199,737.25,2012-01-08,Regular Air,13.18,Nevada,15.99,89115,1,58.980000000000004,-0.27010376398779246,2012,1,5,1
Franklin Square,54,Jasper Cacioppo,Home Office,0.05,1,2012-01-07,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,-11.5805,East,450,10.58,2012-01-08,Regular Air,4.77,New York,1.98,11010,1,0.529,-1.0945652173913043,2012,1,5,1
Lubbock,54,George Ashbrook,Consumer,0.09,1,2012-01-07,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,60.2735,Central,2538,610.65,2012-01-09,Express Air,8.83,Texas,20.98,79424,2,54.958499999999994,0.09870384017031032,2012,1,5,1
Brunswick,54,Julie Kriz,Corporate,0.01,1,2012-01-07,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,East,5733,11.57,2012-01-12,Regular Air,0.7,Maine,1.76,4011,5,0.11570000000000001,-0.1780466724286949,2012,1,5,1
Garfield Heights,54,Sandra Flanagan,Home Office,0.03,1,2012-01-08,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,East,612,75.77,2012-01-08,Regular Air,8.99,Ohio,22.72,44125,0,2.2731,0.8479609344067573,2012,1,6,1
Garfield Heights,54,Sandra Flanagan,Home Office,0.07,1,2012-01-08,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,East,611,64.29,2012-01-08,Regular Air,0.99,Ohio,4.13,44125,0,4.500300000000001,0.22429615803390882,2012,1,6,1
